Geographical Name,Generic Term,Latitude,Longitude,Province - Territory
Gibbons,Town,53.8297222,-113.3283333,Alberta
Gibsons,Town,49.400278,-123.508889,British Columbia
Gilbert Plains,Town,51.149722,-100.487778,Manitoba
Gillam,Town,56.347222,-94.707778,Manitoba
Gillams,Town,49.0194944,-58.0683389,Newfoundland and Labrador
Gimli,Town,50.633611,-96.99,Manitoba
Gladstone,Town,50.225833,-98.95,Manitoba
Glenburnie-Birchy Head-Shoal Brook,Town,49.4507556,-57.9098889,Newfoundland and Labrador
Glenwood,Town,48.9809139,-54.8820444,Newfoundland and Labrador
Glovertown,Town,48.6911305,-54.0352778,Newfoundland and Labrador
Goderich,Town,43.73813,-81.70455,Ontario
Golden,Town,51.297778,-116.964722,British Columbia
Goose Cove East,Town,51.3075,-55.6272222,Newfoundland and Labrador
Gore Bay,Town,45.9161111,-82.4647222,Ontario
Govan,Town,51.3107972,-104.9952194,Saskatchewan
Gracefield,Town,46.081771,-76.059772,Quebec
Granby,Town,45.398555,-72.722249,Quebec
Grand Bank,Town,47.088906,-55.755111,Newfoundland and Labrador
Grand Bay-Westfield,Town,45.340556,-66.253889,New Brunswick
Grand Falls,Town,47.0525,-67.735,New Brunswick
Grand Falls-Windsor,Town,48.9640028,-55.6644417,Newfoundland and Labrador
Grand Le Pierre,Town,47.7732861,-54.8056084,Newfoundland and Labrador
Grand Rapids,Town,53.178333,-99.264722,Manitoba
Grand-Sault,Town,47.0525,-67.735,New Brunswick
Grande-Rivière,Town,48.40015,-64.496655,Quebec
Grandview,Town,51.174167,-100.69778,Manitoba
Gravelbourg,Town,49.8729,-106.5535944,Saskatchewan
Gravenhurst,Town,44.8686111,-79.3394445,Ontario
Greater Napanee,Town,44.2375,-76.9686111,Ontario
